## 累积统计471

### 下一期在窗口分布的累积
| 百分比 | 数字个数 | 出现次数 |
|--------------------------|
| 57     |   总计   | 1次 |
| 53     |   总计   | 3次 |
| 50     |   总计   | 26次 |
| 47     |   总计   | 65次 |
| 43     |   总计   | 129次 |
| 40     |   总计   | 232次 |
| 37     |   总计   | 321次 |
| 33     |   总计   | 410次 |
| 30     |   总计   | 436次 |
| 27     |   总计   | 452次 |
| 23     |   总计   | 450次 |
| 20     |   总计   | 447次 |
| 17     |   总计   | 424次 |
| 13     |   总计   | 332次 |
| 10     |   总计   | 210次 |
| 7      |   总计   | 79次 |
| 3      |   总计   | 11次 |
| 0      |   总计   | 3次 |
|--------------------------|
| 57     |    1个    | 1次 |
| 53     |    1个    | 3次 |
| 50     |    1个    | 26次 |
| 47     |    1个    | 61次 |
| 47     |    2个    | 4次 |
| 43     |    1个    | 111次 |
| 43     |    2个    | 18次 |
| 40     |    1个    | 179次 |
| 40     |    2个    | 43次 |
| 40     |    3个    | 10次 |
| 37     |    1个    | 179次 |
| 37     |    2个    | 91次 |
| 37     |    3个    | 39次 |
| 37     |    4个    | 12次 |
| 33     |    1个    | 133次 |
| 33     |    2个    | 147次 |
| 33     |    3个    | 85次 |
| 33     |    4个    | 33次 |
| 33     |    5个    | 11次 |
| 33     |    6个    | 1次 |
| 30     |    1个    | 100次 |
| 30     |    2个    | 114次 |
| 30     |    3个    | 109次 |
| 30     |    4个    | 69次 |
| 30     |    5个    | 32次 |
| 30     |    6个    | 8次 |
| 30     |    7个    | 3次 |
| 30     |    8个    | 1次 |
| 27     |    1个    | 66次 |
| 27     |    2个    | 102次 |
| 27     |    3个    | 102次 |
| 27     |    4个    | 91次 |
| 27     |    5个    | 50次 |
| 27     |    6个    | 26次 |
| 27     |    7个    | 9次 |
| 27     |    8个    | 6次 |
| 23     |    1个    | 55次 |
| 23     |    2个    | 94次 |
| 23     |    3个    | 105次 |
| 23     |    4个    | 89次 |
| 23     |    5个    | 64次 |
| 23     |    6个    | 28次 |
| 23     |    7个    | 12次 |
| 23     |    8个    | 1次 |
| 23     |    9个    | 2次 |
| 20     |    1个    | 79次 |
| 20     |    2个    | 106次 |
| 20     |    3个    | 104次 |
| 20     |    4个    | 77次 |
| 20     |    5个    | 52次 |
| 20     |    6个    | 22次 |
| 20     |    7个    | 3次 |
| 20     |    8个    | 4次 |
| 17     |    1个    | 107次 |
| 17     |    2个    | 140次 |
| 17     |    3个    | 101次 |
| 17     |    4个    | 49次 |
| 17     |    5个    | 20次 |
| 17     |    6个    | 5次 |
| 17     |    7个    | 2次 |
| 13     |    1个    | 175次 |
| 13     |    2个    | 104次 |
| 13     |    3个    | 42次 |
| 13     |    4个    | 5次 |
| 13     |    5个    | 5次 |
| 13     |    7个    | 1次 |
| 10     |    1个    | 155次 |
| 10     |    2个    | 46次 |
| 10     |    3个    | 7次 |
| 10     |    4个    | 2次 |
| 7      |    1个    | 75次 |
| 7      |    2个    | 4次 |
| 3      |    1个    | 10次 |
| 3      |    2个    | 1次 |
| 0      |    1个    | 3次 |
