12: 151次
46: 149次
02: 146次
71: 143次
58: 142次
34: 141次
27: 140次
74: 140次
07: 138次
09: 138次
56: 137次
52: 136次
80: 136次
35: 135次
13: 133次
68: 133次
01: 132次
20: 132次
33: 132次
53: 132次
57: 132次
69: 132次
73: 132次
05: 131次
26: 131次
32: 131次
50: 131次
59: 131次
63: 129次
72: 129次
10: 128次
21: 128次
03: 127次
45: 127次
65: 127次
41: 126次
54: 126次
64: 126次
19: 125次
37: 125次
67: 125次
11: 123次
15: 123次
16: 123次
28: 123次
51: 123次
76: 123次
77: 123次
23: 122次
48: 122次
60: 122次
66: 122次
79: 122次
06: 121次
22: 121次
29: 121次
39: 121次
70: 121次
75: 120次
25: 119次
30: 119次
36: 119次
08: 117次
43: 117次
44: 117次
38: 116次
40: 116次
14: 115次
61: 115次
31: 111次
55: 110次
04: 109次
78: 109次
18: 108次
42: 108次
49: 108次
62: 108次
47: 105次
24: 99次
17: 94次
